lemmas,bigrams,depenrel
"['three', 'hold', 'entre', 'deal', 'tile', 'mess', 'stack', 'can', 'lead', 'great', 'tini', 'space', 'white', 'small', 'corridor', 'bottl', 'counter', 'narrow']",narrow corridor;tiny space;tiny white;white tiled;tiled counters;great deal;small counter;12-14 entrees;,narrow corridor;corridor leads;tiny space;tiny counters;white tiled;tiled counters;great deal;small counter;entrees holding;
"['food', 'great']",,food is;
"['steak', 'done', 'look', 'cook', 'accompani', 'salad', 'precis', 'side', 'desir', 'succul', 'like', 'leafi', 'road', 'kill']",desired 'doneness;n't look;leafy road;,succulent steaks;steaks cooked;desired doneness;that look;n't look;leafy kill;
"['come', 'pickel', 'slaw', 'extra', 'lunch', 'charg']",extra charge;,lunch came;extra charge;
"['reason', 'decent', 'wine', 'price']",decent wine;reasonable prices;,decent wine;reasonable prices;
"['deliv', 'door', 'conveni', 'right']",conveniently delivered;,all delivered;
"['good', 'wine', 'glass', 'even']",,wine was;
"['famili', 'tradit', 'restaur', 'own', 'nice']",nice family;traditional restaurant;,nice family;family owned;traditional restaurant;restaurant owned;
"['price', 'sky', 'tri', 'terrac', 'water', 'rather', 'club', 'would']",rather tried;tried terrace;,terrace tried;
"['alway', 'dish', 'favorit', 'tire', 'go', 'never', 'get']",always get;i go;never get;,dish is;i get;it get;i go;never get;
"['mojito', 'also', 'world', 'chang', 'order']",also ordered;,i ordered;change ordered;which was;
"['okay', 'servic']",okay service;,okay service;
"['servic', 'wonder', 'except', 'food', 'thing']",only thing;more wonderful;,only thing;thing is;wonderful thing;which is;
"['pleasantli', 'surpris']",very pleasantly;pleasantly surprised;,we were;
"['actual', 'food', 'atroci', 'aw']",just awful;,food was;
"['visit', 'never', 'restaur']",never visit;,i visit;never visit;restaurant visit;
"['soup', 'sauc', 'water', 'soy', 'udon']",soy sauce;,soup was;
"['especi', 'excel', 'main', 'anti', 'fill', 'calamari', 'pasta']",,anti -;pasta was;filling mains;mains were;
"['waitress', 'glass', 'go', 'well', 'food', 'wine', 'suggest']",suggested glasses;very well;,waitress suggested;glasses suggested;that went;
"['sister', 'case']",,
"['restaur', 'indian', 'eat', 'differ', 'mani']",many different;different indian;indian restaurants;,i eaten;many restaurants;different restaurants;indian restaurants;
"['give', 'might', 'order', 'food', 'busi', 'love', 'say', 'counter']",says i;,they be;you give;order give;food says;i love;you love;
"['includ', 'tempura', 'everi', 'cevich', 'two', 'crab', 'dumpl', 'roll', 'assort', 'special', 'type', 'sake', 'particular', 'sushi', 'mix', 'banana', 'sashimi', 'pleas', 'choic']",very particular;crab dumplings;assorted sashimi;,we are;which included;mix included;assorted sashimi;
"['pizza', 'garlic', 'plain', 'eggplant', 'fresh', 'tri']",fresh garlic;,plain pizza;pizza try;fresh garlic;
['go'],n't go;,n't go;
"['littl', 'clueless', 'attent', 'enough', 'effort', 'ok', 'make', 'server', 'crowd', 'get', 'fine', 'wander', 'small', 'around']",little clueless;enough servers;just have;small effort;,servers wander;little clueless;enough servers;they get;it 's;you have;small effort;effort make;attention get;
"['tabl', 'good', 'luck', 'get']",good luck;,good luck;table getting;
"['without', 'pick', 'someon', 'randomli', 'expect', 'sure', 'recommend']",n't sure;,we picked;it picked;who been;we were;n't were;what expect;
"['like', 'nose', 'look']",n't look;,n't look;
"['great', 'thai', 'planet']",,thai is;
"['servic', 'aw']",,service is;
[],just do;n't do;,n't do;it do;
"['ignor', 'trendi', 'wannab']",just ignore;trendy wannabes;,trendy wannabes;wannabes ignore;
"['eye', 'expand', 'dish', 'italian', 'offer', 'wait', 'keep', 'menu', 'say', 'takeout']",expanded menu;more italian;italian dishes;n't wait;,menu says;eye keep;expanded menu;more dishes;italian dishes;dishes offering;i wait;n't wait;
"['trust', 'devour', 'great', 'time']",,me trust;it be;all devoured;
"['girlfiend', 'last', 'g', 'eat', 'night']",i ate;again last;last night;,girlfiends ate;last night;
"['offic', 'go', 'everyday', 'one', 'near', 'wish', 'would']",i wish;office- i;,i wish;they had;one had;i go;
['final'],,
"['year', 'money', 'valu', 'past', 'nyc', 'amma', 'experi', 'worst']",worst value;,amma has;worst value;value has;i experienced;past years;
"['take', 'come', 'person', 'thai', 'food', 'experi', 'friend']",most experienced;experienced person;thai food;,i am;not am;experienced person;it comes;thai food;friend is;who took;me took;
"['spot', 'overpric', 'think', 'pretti', 'overr', 'good', 'would']",pretty good;good spot;not so;so overpriced;,i think;this be;good spot;it were;not were;
"['take', 'name', 'five', 'whether', 'two', 'ahead', 'host', 'tell', 'hundr', 'regardless', 'peopl', 'minut']",hundred people;,hostess take;name take;minutes tell;
"['pizza', 'though', 'good']",,pizza is;
"['good', 'cheap', 'wine', 'bottl']",,bottles are;
['disapoint'],not be;,you disapointed;not disapointed;
"['in', 'walk', 'riski']",,ins are;
"['pumkin', 'dish', 'offer', 'happi', 'delici', 'beer', 'make', 'must', 'guest', 'thier', 'differ', 'food', 'husband', 'tortelini', 'recommend']",different beers;thier guest;very happy;pumkin tortelini;,different beers;beers have;guest offer;that made;husband happy;food was;i recommend;dish recommend;it be;pumkin tortelini;
"['give', 'special', 'dinner', 'us', 'ask']",n't give;dinner special;,they give;n't give;dinner give;we asked;
"['pud', 'chocol', 'dessert', 'world', 'must', 'bread', 'lasagna', 'crabmeat']",,you have;lasagna have;which is;
"['word', 'advic', 'dish', 'leav', 'never', 'save', 'room', 'tiramisu', 'pasta']",save room;never leave;,room save;never leave;you had;tiramisu had;
"['servic', 'price', 'good']",very good;good service;very good;good prices;,good service;good prices;
"['co', 'worker', 'recent', 'go', 'restaur', 'lunch', 'time', 'amaz']",recently went;amazing time;,i went;amazing time;time had;
"['servic', 'staff', 'know', 'present', 'need', 'unobtrus', 'menu', 'impecc', 'meal', 'attend']",,service was;staff knows;they are;menu know;meal present;
"['midtown', 'ny', 'town', 'far', 'either', 'ess', 'best', 'sti', 'bagel']",best bagel;,ess is;sty town;best bagel;
"['food', 'great']",,food was;
"['ever', 'late', 'person', 'open', 'well', 'night', 'get']",well as;as late;ever got;,i got;i 'm;
"['train', 'drive', 'fact', 'though', 'revenu', 'seem', 'server', 'thing', 'annoy']",most annoying;annoying thing;drive revenue;,annoying thing;thing is;servers seem;revenue drive;
"['kick', 'plate', 'dumpl', 'go', 'food', 'bench', 'get', 'find', 'back']",,food go;bench find;
"['ever', 'filet', 'tri', 'mignon', 'tender', 'piec', 'pleas']",most tender;tender piece;,filet mignon;mignon try;tender piece;
"['pretti', 'good', 'everyth']",pretty good;only been;there once;,everything was;we had;we been;
"['take', 'bartend', 'bar', 'around', 'still', 'face', 'drink', 'go', 'next', 'turn', 'say', 'peopl', 'sit', 'us', 'away', 'back', 'sangria']",still sitting;,we sitting;we drank;sangria drank;we turned;2 gone;people gone;bartender took;it took;
"['someth', 'holiday', 'parti', 'busi']",holiday party;,something being;
"['menu', 'sake', 'overlook']",not be;,menu overlooked;not overlooked;
"['recommend', 'highli', 'would']",highly recommend;,i recommend;
"['place', 'great']",,place is;
"['half', 'till', 'pm', 'drink', 'amaz']",,drinks are;
"['nha', 'beef', 'trang', 'hundr', 'liter', 'good', 'cub', 'time', 'back']",nha trang;hundred times;,i been;nha trang;they 're;
"['excel', 'poor', 'truli', 'district', 'experi', 'theater', 'mani', 'find']",so many;many poor;poor experiences;excellent find;,many experiences;poor experiences;excellent find;
"['brooklyn', 'restaur', 'one', 'overr', 'get']",most overrated;overrated restaurants;,this got;overrated restaurants;
"['servic', 'outstand', 'select', 'wine', 'recognit', 'ambianc', 'deserv']",wine selection;deserve recognition;,service are;recognition deserve;
"['impress', 'year', 'last', 'go', 'anniverseri', 'night']",last night;,last night;n't was;all was;that impressed;
"['take', 'pathet', 'seat', 'hour', 'us', 'rather']",rather pathetic;,it was;it took;them took;us seat;
"['servic', 'seat', 'howev', 'promptli', 'slow', 'reserv']",had reservations;,we seated;we had;reservations had;service was;
"['slightli', 'skeptic', 'middl', 'restaur', 'sushi', 'nyc', 'first']",first i;slightly skeptical;,i was;it was;
"['servic', 'also', 'waiter', 'friendli', 'realli', 'good']",really also;,it 's;waiters are;
"['suan', 'glad', 'heed', 'recommend']",,suan was;i am;we heeded;
"['includ', 'littl', 'food', 'flavorless', 'pretti', 'small', 'dessert', 'portion', 'good']",pretty good;little flavorless;very small;including dessert;,food was;little flavorless;small flavorless;
"['month', 'visit', 'least']",,we visit;
"['traffic', 'far', 'set', 'nois', 'street', 'small']",small street;,it set;small street;it 's;
"['avoid', 'come', 'later', 'also', 'loos', 'famili', 'like', 'place', 'anim', 'popular', 'bother', 'children', 'night', 'wild', 'run']",wild animals;,place is;you bothered;wild animals;them avoid;
"['short', 'keep']",,i keep;this keep;
"['eat', 'though', 'felt', 'pari']",,i felt;i eating;
"['shanghai', 'life', 'green', 'compar', 'think', 'restaur', 'food', 'bo', 'live', 'flagship']",shanghai most;flagship green;green bo;,food was;green restaurant;
"['servic', 'ambienc', 'bart', 'wonder', 'food', 'cafe', 'st', 'highli', 'recommend']",highly recommend;recommend cafe;cafe st.;st. bart;wonderful service;,i recommend;st recommend;wonderful service;
"['worth', 'special', 'trip', 'howev']",not worth;special trip;,it 's;not 's;special trip;
"['valu', 'nice']",nice value;,nice value;
"['gigino', 'wagner', 'enjoy', 'park']",so enjoyable;,gigino is;
"['import', 'quick']",very important;,it was;which is;
"['associ', 'look', 'meet', 'host', 'restaur', 'dinner', 'place', 'intim', 'busi', 'good', 'nice']",nice restaurant;good place;,this is;nice restaurant;you looking;good place;intimate meeting;meeting host;
"['nyu', 'student', 'young', 'make', 'place', 'fun', 'atmospher', 'love']",nyu students;fun young;,nyu students;students love;place love;it makes;fun atmosphere;young atmosphere;
"['name', 'servic', 'cantones', 'great', 'food']",here does;great service;,food does;great service;service does;that is;
"['stand', 'noth', 'cook']",,nothing stands;
"['spot', 'color', 'decent', 'joya', 'food', 'relax', 'atmospher', 'use', 'cool']",cool spot;decent food;not relaxed;,joya used;cool spot;decent food;colorful atmosphere;not relaxed;relaxed atmosphere;
"['insid', 'destroy', 'problem', 'go', 'mcdonald']",,that 's;insides destroy;
"['worth', 'everi', 'prix', 'enough', 'menu', 'qualiti', 'penni', 'get', 'fix', 'quantiti']",,fixe menu;menu is;you get;more get;enough than;
"['favorit', 'citi', 'one', 'lunch', 'time']",,i been;it is;
"['life', 'egg', 'fail', 'remov', 'sauc', 'hollondais', 'entir', 'tri', 'brunch', 'complet', 'worst', 'benedict']",entire life;i tried;,i had;benedict had;which were;entire life;i tried;sauce removing;that was;it was;
"['oatmeal', 'cook', 'packag', 'item', 'neighborhood', 'quick', 'near', 'work', 'best']",i work;best oatmeal;quick-cooked item;,i work;they have;best oatmeal;oatmeal have;neighborhood- item;not item;packaged item;
"['alway', 'fast', 'move', 'busi']",always busy;fast moving;,
"['heritag', 'food', 'bad']",too bad;same heritage;,food was;n't was;same heritage;
"['chilean', 'bass', 'look', 'outsid', 'offer', 'special', 'except', 'server', 'sea', 'menu', 'write', 'board', 'good']",chilean sea;not offer;,menu looked;chilean bass;bass offering;server offer;not offer;specials offer;that written;
['sexi'],,
"['onion', 'ever', 'soup', 'one', 'food', 'realli', 'best', 'good']",really good;,food was;i had;soup had;it was;
"['clearli', 'favorit', 'joint', 'bengali', 'fast', 'food', 'say']",,i have;bengali joint;fast food;joint is;
"['gross', 'actual', 'picki']",not picky;actually gross;,i 'm;not 'm;it was;
"['includ', 'deal', 'less', 'restaur', 'well', 'solid', 'pp', 'wine', 'overal']",solid restaurant;including wine;solid deal;as well;,solid restaurant;less 40pp;solid deal;
"['bite', 'hole', 'staff', 'hesit', 'wall', 'help', 'welcom', 'soon', 'liter', 'first', 'friendli', 'complet', 'get', 'intimid', 'sinc', 'quickli', 'ask']",literally is;complete hole;very quickly;quickly as;as soon;friendly staff;n't hesitate;,it is;complete hole;it 's;you get;friendly staff;staff welcomes;you hesitate;n't hesitate;what get;
"['sum', 'review', 'base', 'dinner', 'place', 'dim', 'definit', 'revisit', 'reconsid', 'would']",definitely not;,this is;i reconsider;not for;dim sum;
"['insid', 'size', 'regular', 'rice', 'roll', 'tripl', 'turn', 'extra', 'cost']",regular roll;inside-out roll;roll more;not just;,it costs;2 costs;extra 2;regular roll;roll turn;inside roll;that 's;not 's;
"['name', 'joe', 'even', 'make', 'corner', 'place', 'john', 'around']",,place make;name make;
"['butteri', 'slightli', 'littl', 'perfect', 'melt', 'creami', 'mouth', 'fishi', 'consist']",little mouth;perfect consistency-not;too fishy;,it melted;little mouth;perfect consistency;not fishy;
"['tonic', 'final', 'gin', 'unabl', 'make', 'find']",finally did;n't find;,he did;he was;gin make;n't find;tonic find;
"['bite', 'go', 'quick', 'girlfriend', 'night', 'convinc']",other night;quick bite;,girlfriend convinced;me convinced;other night;quick bite;
"['tast', 'chines', 'steami', 'sum', 'littl', 'dish', 'look', 'also', 'hot', 'ok', 'note', 'lack', 'dim', 'fresh']",n't taste;little dishes;n't look;steamy hot;also note;note lack;,dim sum;sum is;n't taste;fresh taste;little dishes;dishes look;n't look;they note;lack note;
"['despit', 'previou', 'untast', 'review']",untasteful previous;previous review;,untasteful review;previous review;
"['home', 'heart', 'away', 'believ', 'tri', 'judg', 'place', 'liter', 'faci', 'prima']",n't judge;literate heart;,n't judge;place judge;you have;it try;it believe;
"['sal', 'favorit', 'know', 'new', 'york', 'everyon', 'get', 'sure']",know sal;new york;,everyone got;favorite got;sal know;new york;york know;
"['think', 'well', 'brilliant', 'absolut', 'busi', 'oper', 'run']",absolutely brilliant;well runned;runned business;,i think;it is;brilliant operation;
['also'],,they were;
"['servic', 'ok', 'peopl', 'get', 'ask']",n't get;,service is;some get;n't get;they asked;
"['come', 'final', 'time', 'dine', 'speak', 'make', 'month', 'ear', 'much', 'friend']",so much;finally made;,friends spoke;i made;time made;ear come;
"['go', 'thai', 'authent', 'place', 'want', 'good']",good authentic;authentic thai;,you want;good thai;authentic thai;thai want;place is;not is;
"['without', 'seat', 'though', 'even', 'saw', 'one', 'peopl', 'get', 'reserv', 'recommend']",i recommend;saw people;,i recommend;reservation getting;we saw;people seated;
"['grill', 'enjoy', 'special', 'edamam', 'chicken', 'thing', 'pure', 'moder']",only thing;moderately enjoyed;grilled chicken;edamame puree;,only thing;thing was;i enjoyed;grilled chicken;
"['come', 'neighborhood', 'good', 'restaur']",as good;,this is;restaurants come;
"['ginger', 'rice', 'roast', 'chicken', 'tri', 'pork', 'want', 'duck']",roast duck;,you want;roast duck;duck want;them try;
"['leav', 'like', 'order', 'miss', 'menu', 'experi', 'full', 'feel']",full experience;,you order;you leave;you missed;full experience;experience missed;
"['chinatown', 'manhattan', 'restaur', 'authent', 'one', 'us', 'shanghaines', 'definit', 'best']",more authentic;authentic shanghainese;shanghainese restaurants;manhattan chinatown;,authentic restaurants;shanghainese restaurants;best one;manhattan chinatown;
"['everi', 'citi', 'go', 'time', 'back']",,we go;we are;
"['love', 'th', 'poni', 'pink']",th pink;,we love;pink pony;pony love;
"['eat', 'order', 'lot', 'fast']",so eat;eat fast;,
"['accomod', 'staff']",very accomodating;,staff is;
