reviews,lemmas,lemmas,aspectCategory
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","['tabl', 'time', 'get', 'odd', 'restaur', 'order', 'first', 'saw', 'complet', 'unattent', 'waitress', 'wrong']",first off;completely unattentive;,service
Don't go.,['go'],n't go;,anecdotes/miscellaneous
The food was bland oily.,"['food', 'bland', 'oili']",,food
But they do.,[],,anecdotes/miscellaneous
"What is even better, is that the prices are very affordable as well, and the food is really good.","['afford', 'well', 'even', 'better', 'realli', 'good', 'food', 'price']",even better;very affordable;really good;,food
The fish is fresh but the variety of fish is nothing out of ordinary.,"['fresh', 'fish', 'noth', 'varieti', 'ordinari']",is nothing;,food
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"['write', 'decent', 'tri', 'know', 'peopl', 'ever', 'pleas', 'look', 'dont', 'place', 'someoth', 'review']",look i;i dont;ever been;decent place;please try;someother places;,anecdotes/miscellaneous
Suan has challenged this loyalty.,"['loyalti', 'suan', 'challeng']",,anecdotes/miscellaneous
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","['hous', 'salad', 'wine', 'meal', 'favorit', 'good', 'pesto', 'pizza', 'bottl']",favorite meal;pesto pizza;good bottle;,food
"And Kruno, the beverage manager is the best bartender I have yet to come across.","['come', 'yet', 'best', 'manag', 'across', 'kruno', 'beverag', 'bartend']",best bartender;,service
"Ambiance and music funky, which I enjoy.","['ambianc', 'music', 'funki', 'enjoy']",,ambience
"The food, drinks and service are clearly among the best in the city.","['best', 'clearli', 'citi', 'servic', 'drink', 'among', 'food']",,food
I went there in late afternoon for some bite size food and refleshment with my date.,"['food', 'date', 'late', 'reflesh', 'go', 'size', 'bite', 'afternoon']",i went;late afternoon;bite size;,anecdotes/miscellaneous
"It's a really great deal, considering we got full off of four dollars.","['get', 'dollar', 'consid', 'full', 'realli', 'four', 'deal', 'great']",really great;great deal;,price
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","['five', 'maze', 'back', 'allur', 'complic', 'experi', 'come', 'waiter', 'star', 'ambianc', 'area', 'featur', 'sommlier', 'servic', 'romant', 'understand', 'tast', 'need', 'authent', 'captain', 'food', 'folk']",not come;alluring ambiance;complicated maze;authentic foods;,food
Went with mommy (the only person who could afford taking me here).,"['could', 'afford', 'go', 'take', 'person', 'mommi']",,anecdotes/miscellaneous
My friends and I were on vacation in NY and was referred to Chance by a friend.,"['chanc', 'friend', 'ny', 'refer', 'vacat']",,anecdotes/miscellaneous
"Last time I went here, the waitress didn't come back after taking our order.","['come', 'time', 'back', 'order', 'waitress', 'last', 'take', 'go']",last time;time i;i went;n't come;,service
Try the tandoori salmon!,"['tri', 'tandoori', 'salmon']",tandoori salmon;,food
"I am completely hooked on this place, it is ridiculous.","['complet', 'place', 'hook', 'ridicul']",completely hooked;,anecdotes/miscellaneous
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","['disappoint', 'atmospher', 'desk', 'experi', 'eat', 'save']",very disappointing;disappointing experience;,anecdotes/miscellaneous
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","['space', 'grant', 'smaller', 'find', 'best', 'restaur', 'servic', 'even', 'largest']",best service;,service
"Have recommended the place to friends, always gets good response.","['get', 'respons', 'recommend', 'friend', 'alway', 'good', 'place']",always gets;good response;,anecdotes/miscellaneous
We will return many times for this oasis in mid-town.,"['time', 'town', 'oasi', 'mani', 'return', 'mid']",many times;,anecdotes/miscellaneous
I love the atmorphere @ peep!,"['peep', 'love', 'atmorpher']",atmorphere @;@ peep;,ambience
Enjoy!,['enjoy'],,anecdotes/miscellaneous
We weren't!,[],,anecdotes/miscellaneous
This is one of my favorite restaurants and it is not to be missed.,"['favorit', 'restaur', 'one', 'miss']",favorite restaurants;,anecdotes/miscellaneous
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"['connect', 'restaur', 'la', 'door', 'swing', 'mexican', 'pacifico', 'rosa']",swinging door;mexican restaurant;,anecdotes/miscellaneous
It could have been handled better.,"['handl', 'better', 'could']",,anecdotes/miscellaneous
The service was attentive and her suggestions of menu items was right on the mark.,"['mark', 'suggest', 'menu', 'servic', 'attent', 'item', 'right']",,service
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,"['could', 'three', 'meal', 'night', 'everyth', 'lick', 'would', 'cours', 'delici', 'plate', 'clean']",other night;,food
Please be aware that it's CASH or AMEX only!,"['amex', 'cash', 'pleas', 'awar']",'s cash;,anecdotes/miscellaneous
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!","['carri', 'get', 'rise', 'true', 'pizza', 'class', 'sal', 'forget', 'push', 'famou', 'smile', 'commun', 'outstand', 'even', 'father', 'let', 'love', 'ray', 'legaci', 'uncl']",no-class famous;famous ray;true love;not forget;outstanding pizza;,food
It's a rather cramped and busy restaurant and it closes early.,"['restaur', 'busi', 'cramp', 'earli', 'close', 'rather']",rather cramped;busy restaurant;,ambience
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","['horribl', 'pathet', 'could', 'lie', 'environ', 'gabriella', 'servic', 'everyth', 'romant', 'food']",,food
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.","['tasti', 'crawfish', 'quit', 'boil', 'well', 'make', 'despit', 'ton', 'fun', 'mess']",quite tasty;as well;,food
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,"['month', 'coupl', 'advanc', 'reserv', 'high', 'make', 'occas', 'expect', 'special', 'place']",very high;high expectations;special occasion;,anecdotes/miscellaneous
They were served warm and had a soft fluffy interior.,"['interior', 'serv', 'soft', 'fluffi', 'warm']",soft fluffy;,food
What came to our table was burned beyond recognition and stringy.,"['come', 'tabl', 'beyond', 'burn', 'stringi', 'recognit']",,food
I had the Pad Thai and the noodles were sticky.,"['thai', 'noodl', 'sticki', 'pad']",,food
"So I've never actually been to M proper, but I've had it delivered a few times.","['time', 'actual', 'deliv', 'proper', 'never']",so i;i 've;never actually;actually been;i 've;few times;,anecdotes/miscellaneous
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.","['far', 'restaur', 'best', 'new', 'avenu', 'th', 'money', 'one', 'offer', 'valu', 'among']",new 5th;5th avenue;best values;,price
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","['compar', 'frankli', 'mcd', 'shop', 'sandwich', 'mani', 'comparison', 'citi', 'lunch', 'versu']",so many;many other;other sandwich;sandwich shops;,food
The hostess is rude to the point of being offensive.,"['point', 'offens', 'rude', 'host']",,service
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","['sake', 'stand', 'head', 'hous', 'build', 'outisd', 'across', 'especi', 'bar', 'roll', 'wait', 'street', 'crave', 'food', 'haru', 'great']",great food;n't stand;sake bar;,food
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.","['space', 'corridor', 'tile', 'small', 'stack', 'counter', 'white', 'can', 'three', 'lead', 'hold', 'entre', 'mess', 'tini', 'bottl', 'deal', 'narrow', 'great']",narrow corridor;tiny space;tiny white;white tiled;tiled counters;great deal;small counter;12-14 entrees;,ambience
The food is great.,"['food', 'great']",,food
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,"['succul', 'like', 'look', 'cook', 'kill', 'salad', 'desir', 'done', 'road', 'leafi', 'accompani', 'steak', 'side', 'precis']",desired 'doneness;n't look;leafy road;,food
"Lunch came with pickels and slaw, no extra charge.","['come', 'slaw', 'extra', 'pickel', 'lunch', 'charg']",extra charge;,price
Decent wine at reasonable prices.,"['decent', 'price', 'wine', 'reason']",decent wine;reasonable prices;,food
All conveniently delivered right to the door.,"['conveni', 'door', 'deliv', 'right']",conveniently delivered;,service
even the wine by the glass was good.,"['glass', 'even', 'wine', 'good']",,food
Nice Family owned traditional restaurant.,"['famili', 'restaur', 'own', 'nice', 'tradit']",nice family;traditional restaurant;,anecdotes/miscellaneous
would have rather tried terrace in the sky or water club for that price,"['terrac', 'club', 'water', 'would', 'sky', 'tri', 'rather', 'price']",rather tried;tried terrace;,anecdotes/miscellaneous
This dish is my favorite and I always get it when I go there and never get tired of it.,"['get', 'tire', 'dish', 'favorit', 'alway', 'never', 'go']",always get;i go;never get;,food
"I also ordered the Change Mojito, which was out of this world.","['world', 'order', 'also', 'mojito', 'chang']",also ordered;,food
Okay service.,"['okay', 'servic']",okay service;,service
The only thing more wonderful than the food (which is exceptional) is the service.,"['wonder', 'servic', 'except', 'food', 'thing']",only thing;more wonderful;,food
We were very pleasantly surprised.,"['pleasantli', 'surpris']",very pleasantly;pleasantly surprised;,anecdotes/miscellaneous
"The food was just awful, ATROCIOUS actually.","['aw', 'food', 'actual', 'atroci']",just awful;,food
I will never visit this restaurant again.,"['visit', 'restaur', 'never']",never visit;,anecdotes/miscellaneous
The soup for the udon was soy sauce and water.,"['soup', 'soy', 'udon', 'sauc', 'water']",soy sauce;,food
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","['main', 'anti', 'excel', 'pasta', 'especi', 'fill', 'calamari']",,food
The waitress suggested glasses of wine that went very well with the food.,"['food', 'suggest', 'go', 'well', 'glass', 'waitress', 'wine']",suggested glasses;very well;,food
"(or sister, in my case!).","['sister', 'case']",,anecdotes/miscellaneous
I've eaten at many different Indian restaurants.,"['restaur', 'indian', 'differ', 'mani', 'eat']",many different;different indian;indian restaurants;,anecdotes/miscellaneous
"They might be all business at the counter when you give your order, but their food says I love you.","['busi', 'order', 'counter', 'give', 'say', 'food', 'love', 'might']",says i;,food
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","['sake', 'includ', 'sushi', 'particular', 'assort', 'choic', 'everi', 'pleas', 'crab', 'dumpl', 'two', 'type', 'sashimi', 'cevich', 'mix', 'special', 'banana', 'tempura', 'roll']",very particular;crab dumplings;assorted sashimi;,food
Try their plain pizza with fresh garlic or eggplant.,"['fresh', 'plain', 'garlic', 'eggplant', 'tri', 'pizza']",fresh garlic;,food
Don't go there!,['go'],n't go;,anecdotes/miscellaneous
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","['small', 'get', 'effort', 'clueless', 'crowd', 'wander', 'fine', 'littl', 'server', 'make', 'attent', 'around', 'enough', 'ok']",little clueless;enough servers;just have;small effort;,service
Good luck getting a table.,"['tabl', 'luck', 'get', 'good']",good luck;,anecdotes/miscellaneous
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","['without', 'recommend', 'someon', 'sure', 'randomli', 'expect', 'pick']",n't sure;,anecdotes/miscellaneous
